	Name	Address	City	State	Zipcode	H3 Index	Latitude	Longitude
69	Niu Kitchen	104 NE. 2nd Ave.	Miami	Florida	33132	8f44a112bcedc63	25.7753022	-80.1903736
70	Kabooki Sushi	3122 E. Colonial Dr.	Orlando	Florida	32803	8f44a90e42c644e	28.5531215	-81.341509
71	Kadence	1809 Winter Park Rd.	Orlando	Florida	32803	8f44a90e1d06c15	28.5687259	-81.3458703
72	Swine & Sons	669 N. Orange Ave.	Orlando	Florida	32789	8f44a90ec51d16a	28.5926125	-81.3573538
73	L'Atelier de Joël Robuchon Miami	151 NE. 41st St.	Miami	Florida	33137	8f44a117258e6e1	25.814444	-80.1921438
74	Élevage SoHo Kitchen & Bar	1207 S. Howard Ave.	Tampa	Florida	33606	8f441a89c2eb921	27.93143	-82.48311
75	Bachour	2020 Salzedo St.	Coral Gables	Florida	33134	8f44a18d89ad8c1	25.7539198	-80.2610106
76	Four Flamingos, A Richard Blais Florida Kitchen	1 Grand Cypress Blvd.	Orlando	Florida	32836	8f44a9162146cb3	28.3821588	-81.5097444
77	The Den at Azabu Miami Beach	161 Ocean Dr.	Miami Beach	Florida	33139	8f44a1103c52a81	25.7704634	-80.1326776
78	Josh's Deli	9517 Harding Ave.	Surfside	Florida	33154	8f44a10059b5624	25.8860707	-80.1234011
79	Maxine's on Shine	337 N. Shine Ave.	Orlando	Florida	32803	8f44a900b28b022	28.5472456	-81.3621309
80	Haven	2208 W. Morrison Ave.	Tampa	Florida	33606	8f441a89d5930e5	27.93375	-82.4828388
81	Restaurant BT	2507 S. Macdill Ave.	Tampa	Florida	33629	8f441a88368ccf2	27.923091	-82.4935806
82	JATTÖ	223 NW. 23rd St.	Miami	Florida	33127	8f44a110db65593	25.7995573	-80.1993365
83	Zak The Baker	295 NW. 26th St.	Miami	Florida	33127	8f44a11766a6c4e	25.8015176	-80.2009939
84	Knife & Spoon	4012 Central Florida Pkwy.	Orlando	Florida	32837	8f44a9156b532f5	28.4056024	-81.4293671
85	Rooster and the Till	6500 N. Florida Ave.	Tampa	Florida	33604	8f441a1311496c6	28.0068343	-82.459512
86	Yummy House	2620 E. Hillsborough Ave.	Tampa	Florida	33610	8f441a132b6a0eb	27.996141	-82.429634
87	Olivia	3601 W. Swann Ave.	Tampa	Florida	33609	8f441a89daad593	27.93755	-82.5021772
88	Bistro BT	4267 Henderson Blvd.	Tampa	Florida	33629	8f441a88ec407b0	27.9252675	-82.5157619
89	Domu	3201 Corrine Dr.	Orlando	Florida	32803	8f44a90e0a58076	28.5679469	-81.3433285
90	Tori Tori	720 N. Mills Ave.	Orlando	Florida	32803	8f44a905649eb5d	28.5539463	-81.3646633
91	Se7en Bites	617 N. Primrose Dr.	Orlando	Florida	32803	8f44a90e5c91cae	28.5519385	-81.347241
92	Stubborn Seed	101 Washington Ave.	Miami Beach	Florida	33139	8f44a1103c6ed4d	25.770023	-80.135047
93	Kyu	251 NW 25th St.	Miami	Florida	33127	8f44a110db6d232	25.800797	-80.2001322
94	Ichicoro Ramen	5229 N. Florida Ave.	Tampa	Florida	33603	8f441a13564c685	27.9946304	-82.4594154
95	Mise en Place	442 W. Kennedy Blvd.	Tampa	Florida	33606	8f441a8987b4531	27.945	-82.46525
96	Bombay Street Kitchen	6215 S. Orange Blossom Trl.	Orlando	Florida	32809	8f44a90285453a9	28.467152	-81.3961169
97	DOYA	347 NW. 24th St.	Miami	Florida	33127	8f44a1176780794	25.7999753	-80.201337
98	Doce Provisions	541 SW 12th Ave.	Miami	Florida	33130	8f44a1129c65b8e	25.7679401	-80.2142528
99	Los Félix	3413 Main Hwy.	Miami	Florida	33133	8f44a18d146c942	25.7276768	-80.2428184
100	Strand	807 N. Mills Ave.	Orlando	Florida	32803	8f44a90e5b31d06	28.5553237	-81.3643236
101	La Camaronera	1952 W. Flagler St.	Miami	Florida	33135	8f44a18da4c9a48	25.7725067	-80.2275058
102	Kai Asian Street Fare	1555 State Rd. 436	Orlando	Florida	32792	8f44a90c11300ac	28.623302	-81.315468
103	Joe's Stone Crab	11 Washington Ave.	Miami Beach	Florida	33139	8f44a1103c65d90	25.769113	-80.1351466
104	The Surf Club Restaurant	9011 Collins Ave.	Surfside	Florida	33154	8f44a1023716982	25.878331	-80.1216265
105	The Ravenous Pig	565 W. Fairbanks Ave.	Orlando	Florida	32789	8f44a90ec43454e	28.5932612	-81.3561373
106	Z Asian	1830 E. Colonial Dr.	Orlando	Florida	32803	8f44a90e58aa299	28.5529753	-81.3576352
107	California Grill	4600 North World Dr.	Orlando	Florida	32830	8f44a916dd03bb5	28.414973	-81.5745913
108	Phuc Yea	7100 Biscayne Blvd.	Miami	Florida	33138	8f44a1156b046c9	25.8403537	-80.1844276
109	Sushi Yasu Tanaka	140 NE. 39th St.	Miami	Florida	33137	8f44a11725b5224	25.8124631	-80.192069
110	Prato	124 N. Park Ave.	Orlando	Florida	32789	8f44a90eeb166dd	28.5983654	-81.3509796
111	Papa Llama	2840 Curry Ford Rd.	Orlando	Florida	32806	8f44a900a0556e8	28.5239631	-81.3464706
112	La Natural	7289 NW 2nd Ave.	Miami	Florida	33150	8f44a1154303094	25.8422037	-80.200688
113	Koya	807 W. Platt St.	Tampa	Florida	33606	8f441a898549091	27.94191	-82.46831
114	Shin Jung	1638 E. Colonial Dr.	Orlando	Florida	32803	8f44a90e581a098	28.5529122	-81.3587859
115	Luca Osteria	116 Giralda Ave.	Coral Gables	Florida	33134	8f44a18dc6c5da5	25.7514828	-80.2574719
116	27 Restaurant & Bar	2727 Indian Creek Dr.	Miami Beach	Florida	33140	8f44a111d670d4d	25.8044276	-80.1265161
117	Pao by Paul Qui	3201 Collins Ave.	Miami Beach	Florida	33140	8f44a111d6dd11d	25.8072484	-80.1237473
118	Mister O1 Extraordinary Pizza	1680 Michigan Ave.	Miami Beach	Florida	33139	8f44a110e49c9a0	25.7915713	-80.1389949
119	Hiden	313 NW. 25th St.	Miami	Florida	33127	8f44a117679d05a	25.8008242	-80.2012828
120	Hoja Taqueria	3120 Collins Ave.	Miami Beach	Florida	33140	8f44a111d6c1c42	25.806648	-80.124256
121	Zitz Sum	396 Alhambra Cir.	Coral Gables	Florida	33134	8f44a18dc29b855	25.7515213	-80.2625275
122	Ravello	10100 Dream Tree Blvd.	Orlando	Florida	32836	8f44a9161668676	28.4030199	-81.5438513
123	Cítricos	4401 Floridian Way	Orlando	Florida	32830	8f44a9b93204c4b	28.410967	-81.5873008
124	Steelbach	1902 N. Ola Ave.	Tampa	Florida	33602	8f441a89b19082d	27.96083	-82.46376
125	Oak & Ola	1910 N. Ola Ave.	Tampa	Florida	33602	8f441a89b1944c9	27.9606172	-82.4635688
126	Timpano	1610 W. Swann Ave.	Tampa	Florida	33606	8f441a8988d4971	27.93735	-82.47606
127	Latin Cafe	875 NW. 42nd Ave.	Miami	Florida	33126	8f44a18d94e16c9	25.7804487	-80.2638523
128	Red Rooster Overtown	920 NW. 2nd Ave.	Miami	Florida	33136	8f44a112b32686a	25.782892	-80.198026
129	Mignonette	210 NE. 18th St.	Miami	Florida	33132	8f44a110d98921e	25.793416	-80.1906106
130	The Pinery	295 NE. Ivanhoe Blvd.	Orlando	Florida	32804	8f44a9052983ca8	28.5655889	-81.3735524
131	Bern’s Steak House	1208 S. Howard Ave	Tampa	Florida	33606	8f441a89c2eb421	27.93162	-82.48282
132	Primo	4040 Central Florida Pkwy.	Orlando	Florida	32837	8f44a9156b359a3	28.4014492	-81.4283321
133	Hometown Barbecue Miami	1200 NW. 22nd St.\r\n#100	Miami	Florida	33142	8f44a1176af082c	25.7976937	-80.2154214
134	Taquiza	7450 Ocean Terrace	Miami Beach	Florida	33141	8f44a1022a03910	25.8605169	-80.1199036
135	Kojin	8222 NE. 2nd Ave.	Miami	Florida	33138	8f44a115099da00	25.8502434	-80.1930584
136	La Mar by Gastón Acurio	500 Brickell Key Dr.	Miami	Florida	33131	8f44a112aa1e383	25.765803	-80.1851609
137	Hawkers	1103 N. Mills Ave.	Orlando	Florida	32803	8f44a90e5a082c4	28.5605971	-81.3643405
138	Nossa Omakase	1600 Collins Ave.	Miami Beach	Florida	33139	8f44a111d8b678a	25.7893656	-80.1303069
139	Lung Yai Thai Tapas	1731 SW 8th St.	Miami	Florida	33135	8f44a1129961d49	25.7658469	-80.2230997
140	Havana Harry's	4612 S. Le Jeune Rd.	Coral Gables	Florida	33146	8f44a18c26ab0d0	25.7291466	-80.2618992
141	Morimoto Asia	1600 E. Buena Vista Dr.	Orlando	Florida	32830	8f44a9160d83392	28.36873	-81.522942
142	Le Zoo	9700 Collins Ave.	Miami Beach	Florida	33154	8f44a1005988115	25.8881239	-80.1240558
143	Boia De	5205 NE. 2nd Ave.	Miami	Florida	33137	8f44a1109a71181	25.8239451	-80.1914519
144	Macchialina	820 Alton Rd.	Miami Beach	Florida	33139	8f44a1103a8b465	25.7785114	-80.1409833
145	Rocca	323 W. Palm Ave.	Tampa	Florida	33602	8f441a89b199223	27.96251	-82.4646
146	Ghee Indian Kitchen	8965 SW 72nd Pl.	Miami	Florida	33156	8f44a18e356ea86	25.6870318	-80.3127412
147	Leku	1100 NW. 23rd St.	Miami	Florida	33127	8f44a1176ad28de	25.7988671	-80.214254
148	Capa	10100 Dream Tree Blvd.	Orlando	Florida	32836	8f44a916166861e	28.4030152	-81.5438057
149	Jia	808 1st St.	Miami Beach	Florida	33139	8f44a1103891480	25.7698316	-80.1361112
150	Los Fuegos by Francis Mallmann	3201 Collins Ave.	Miami Beach	Florida	33140	8f44a111d6dd6d6	25.807485	-80.1235918
151	Selam	5494 Central Florida Pkwy.	Orlando	Florida	32821	8f44a9155d9b8ec	28.4070133	-81.4502902
152	Lucali	1930 Bay Rd.	Miami Beach	Florida	33139	8f44a110e7a24d8	25.7948536	-80.1438865
153	Cafe La Trova	971 SW. 8th St.	Miami	Florida	33130	8f44a1129c3315e	25.7662072	-80.2102565
154	Cote Miami	3900 NE. 2nd Ave.	Miami	Florida	33137	8f44a11725b3072	25.812906	-80.1914524
155	Ariete	3540 Main Hwy.	Miami	Florida	33133	8f44a18d118e415	25.7250911	-80.2452564
156	Le Jardinier Miami	151 NE. 41st St.	Miami	Florida	33137	8f44a117258819e	25.814538	-80.192481
157	Black Rooster Taqueria	1323 N. Mills Ave.	Orlando	Florida	32803	8f44a90e5ae96d1	28.562959	-81.3643146
158	Bacán	6100 Wave Hotel Dr.	Orlando	Florida	32837	8f44a9181a8cadb	28.3715214	-81.2509488
159	Itamae	140 NE. 39th St.	Miami	Florida	33137	8f44a11725a0ce3	25.8124341	-80.192643
160	Buya Izakaya + Yakitori	250 NW. 24th St.	Miami	Florida	33127	8f44a1176792762	25.8000278	-80.1998574
161	Krüs Kitchen	3413 Main Hwy.	Miami	Florida	33133	8f44a18d146cd70	25.7276394	-80.2426489
162	Chug's Diner	3444 Main Hwy.	Miami	Florida	33133	8f44a18d1090749	25.7274358	-80.2432039
163	Hakkasan Miami	4441 Collins Ave.	Miami Beach	Florida	33140	8f44a1119013553	25.8179645	-80.1221771
164	Pizza Bruno	3990 Curry Ford Rd.	Orlando	Florida	32806	8f44a900a4c2b52	28.5241442	-81.3353562
165	Tigre	620 NE. 78th St.	Miami	Florida	33138	8f44a1156ae981a	25.8468435	-80.1842688
166	Soseki	955 W. Fairbanks Ave.	Orlando	Florida	32789	8f44a905337366e	28.5963959	-81.39352
167	Orno	1350 S. Dixie Hwy.	Coral Gables	Florida	33146	8f44a18c05826a4	25.7127669	-80.2788498
168	The Polite Pig	1536 Buena Vista Dr.	Orlando	Florida	32830	8f44a9160c227ab	28.3696753	-81.5254913
169	Tinta y Cafe	1315 Ponce De Leon Blvd.	Coral Gables	Florida	33134	8f44a18d8121834	25.7592116	-80.2586961
170	Navé	3540 Main Hwy.	Miami	Florida	33133	8f44a18d119d80c	25.7250933	-80.2451141
171	MILA	1636 Meridian Ave.	Miami Beach	Florida	33139	8f44a111d95808d	25.7900371	-80.1365933
172	Orlando Meats	1035 N. Orlando Ave.	Orlando	Florida	32789	8f44a90e890e971	28.6073855	-81.3653682
173	Estiatorio Milos	730 1st St.	Miami Beach	Florida	33139	8f44a1103c6c99c	25.7698852	-80.1355092
174	Sanguich De Miami	2057 SW. 8th St.	Miami	Florida	33135	8f44a18da50cc72	25.7655471	-80.2287433
175	Hiyakawa Miami	2700 N. Miami Ave.	Miami	Florida	33127	8f44a110da19955	25.8026213	-80.1952187
176	Versailles	3555 SW. 8th St.	Miami	Florida	33135	8f44a18d809844e	25.7648694	-80.2529448
177	Sear + Sea	14900 Chelonia Pkwy.	Orlando	Florida	32821	8f44a91644536d4	28.35886	-81.5272783
178	Tacos Güey	37 W. 19th St.	New York	New York State	10011	8f2a100d272222c	40.7397421	-73.9931974
179	Soda Club	155 Avenue B	New York	New York State	10009	8f2a100d3550028	40.7266603	-73.9798982
180	SAGA	70 Pine St.	New York	New York State	10005	8f2a107288e92a4	40.706144	-74.0078519
181	Reserve by Amor y Amargo	95 Avenue A	New York	New York State	10009	8f2a100d3418d90	40.7256488	-73.9839778
182	Noz17	458 W. 17th St.	New York	New York State	10011	8f2a1072186a30e	40.7435866	-74.0058783
183	Mari	679 Ninth Ave.	New York	New York State	10036	8f2a10725b35480	40.7615587	-73.9904647
184	Le Pavillon	1 Vanderbilt Ave.	New York	New York State	10017	8f2a100d666a8a4	40.752517	-73.9783692
185	Fradei	99 S. Portland Ave.	New York	New York State	11217	8f2a100da08394d	40.6865018	-73.9747211
186	Falansai	112 Harrison Pl.	New York	New York State	11237	8f2a100dc0a1a60	40.7068	-73.92877
187	Dumpling Lab	214 E. 9th St.	New York	New York State	10003	8f2a1072c9666cc	40.7296546	-73.9884975
188	Dhamaka	119 Delancey St.	New York	New York State	10002	8f2a1072ca45d52	40.7183105	-73.9881503
189	Dagon	2454 Broadway	New York	New York State	10024	8f2a10088388a09	40.7913396	-73.973962
190	The Commerce Inn	50 Commerce St.	New York	New York State	10014	8f2a1072cc10800	40.7313677	-74.0056112
191	Ci Siamo	385 Ninth Ave.	New York	New York State	10001	8f2a1072535c40d	40.751896	-73.99762
192	Chutney Masala	76 Main St.	Irvington	New York State	10533	8f2a101b5a02c6c	41.0391615	-73.8684871
193	Chick Chick	618 Amsterdam Ave.	New York	New York State	10024	8f2a10088215626	40.79022	-73.97339
194	Casa Dani	448 W. 33rd St.	New York	New York State	10001	8f2a1072530bc1d	40.7534938	-73.9987615
195	Carne Mare	89 South St.	New York	New York State	10038	8f2a1072d49ba69	40.7059282	-74.0023332
196	Archie's Tap & Table	536 City Island Ave.	New York	New York State	10464	8f2a10000605148	40.852904	-73.789605
197	Antoya	37 W. 32nd St.	New York	New York State	10001	8f2a100d2c621aa	40.7480409	-73.9872087
198	Imperfecto: The Chef's Table	1124 23rd St. NW	Washington	District of Columbia	20037	8f2aa84ed2d6b32	38.9039056	-77.0505927
199	Shōtō	1100 15th St. NW	Washington	District of Columbia	20005	8f2aa845ac2dc2c	38.9038028	-77.0346039
200	Patty O's Cafe & Bakery	389 Main St.	Washington	District of Columbia	22747	8f2aaa729c92b60	38.7109794	-78.1605748
201	Family Ethiopian	1414 9th St. NW	Washington	District of Columbia	20001	8f2aa845e76a686	38.9092821	-77.0242099
202	Residents Cafe & Bar	1306 18th St. NW	Washington	District of Columbia	20036	8f2aa84edaca5b1	38.907818	-77.0417544
203	Stellina Pizzeria	399 Morse St. NE	Washington	District of Columbia	20002	8f2aa845c6ed64b	38.9079122	-77.0000413
204	Timber Pizza Co	809 Upshur St. NW	Washington	District of Columbia	20011	8f2aa84502f519d	38.942	-77.02382
205	The Pembroke	1500 New Hampshire Ave. NW	Washington	District of Columbia	20036	8f2aa84eda8eae0	38.9104712	-77.0433532
206	Supra	1205 11th St. NW	Washington	District of Columbia	20001	8f2aa845e64a573	38.90597	-77.027
207	The Setting	2512 Pennsylvania Ave. NW	Washington	District of Columbia	20037	8f2aa84e9933c8e	38.9038449	-77.0538981
208	Unconventional Diner	1207 9th St.	Washington	District of Columbia	20001	8f2aa845e29b8dc	38.906124	-77.02381
209	Rose’s Luxury	717 8th St. SE	Washington	District of Columbia	20003	8f2aa8459092022	38.8806478	-76.9950588
210	The Bombay Club	815 Connecticut Ave. NW	Washington	District of Columbia	20006	8f2aa845acc548d	38.90126	-77.038155
211	Zaytinya	701 9th St. NW	Washington	District of Columbia	20001	8f2aa845a84e664	38.8985405	-77.0238266
212	Sfoglina	4445 Connecticut Ave. NW	Washington	District of Columbia	20008	8f2aa8452795a46	38.9466859	-77.0644436
213	The Red Hen	1822 1st St. NW	Washington	District of Columbia	20001	8f2aa845eb8c8e1	38.914898	-77.01227
214	Rappahannock Oyster Bar	1309 5th St. NE	Washington	District of Columbia	20002	8f2aa845c646a4d	38.908822	-76.997972
215	Swahili Village	1990 M St. NW	Washington	District of Columbia	20036	8f2aa84ed35e756	38.9055968	-77.0446353
216	Philotimo	1100 15th St. NW	Washington	District of Columbia	20005	8f2aa845ac2dd73	38.903814	-77.034572
217	Jaleo	480 7th St. NW	Washington	District of Columbia	20004	8f2aa845ab1d672	38.89605	-77.02215
218	Marcel's	2401 Pennsylvania Ave. NW	Washington	District of Columbia	20037	8f2aa84e9923c0b	38.90355	-77.05231
219	Indigo	243 K St. NE	Washington	District of Columbia	20002	8f2aa845889d7b6	38.90241	-77.002235
220	Gravitas	1401 Okie St. NE	Washington	District of Columbia	20002	8f2aa845caa1242	38.9146396	-76.9845997
221	Pearl Dive Oyster Palace	1612 14th St. NW	Washington	District of Columbia	20009	8f2aa845e782653	38.91176	-77.03204
222	Xiquet	2404 Wisconsin Ave. NW	Washington	District of Columbia	20007	8f2aa84ec65910b	38.9215871	-77.0723834
223	Rooster & Owl	2436 14th St. NW	Washington	District of Columbia	20009	8f2aa845324ea83	38.9214669	-77.0321599
224	Ris	2275 L St. NW	Washington	District of Columbia	20037	8f2aa84ed2d4b49	38.90384	-77.04993
225	Toki Underground	1234 H St. NE	Washington	District of Columbia	20002	8f2aa845d4f4ca9	38.900337	-76.98891
226	Thip Khao	3462 14th St. NW	Washington	District of Columbia	20010	8f2aa84531634dc	38.932957	-77.032845
227	Keren	1780 Florida Ave. NW	Washington	District of Columbia	20009	8f2aa84ed850a71	38.916874	-77.04129
228	Masseria	1340 4th St. NE	Washington	District of Columbia	20002	8f2aa845c672619	38.909504	-76.99908
229	The Partisan	709 D St. NW	Washington	District of Columbia	20004	8f2aa845aa206c2	38.8949	-77.0224
230	Kaliwa	751 Wharf St. SW	Washington	District of Columbia	20024	8f2aa845b46e852	38.878735	-77.02449
231	Cane	403 H St. NE	Washington	District of Columbia	20002	8f2aa84588d8d1b	38.9001399	-77.000327
232	Lapis	1847 Columbia Rd. NW	Washington	District of Columbia	20009	8f2aa84ed9aa559	38.921295	-77.043915
233	Fiola	601 Pennsylvania Ave. NW	Washington	District of Columbia	20004	8f2aa845aa60d31	38.89283	-77.01991
234	Taqueria Habanero	3710 14th St. NW	Washington	District of Columbia	20010	8f2aa84538aa82b	38.9374907	-77.0328526
235	Queen’s English	3410 11th St. NW	Washington	District of Columbia	20010	8f2aa8453b8c828	38.9321904	-77.0284644
236	Royal	501 Florida Ave. NW	Washington	District of Columbia	20001	8f2aa845e15e88a	38.914955	-77.018555
237	Thai X-ing	2020 9th St. NW	Washington	District of Columbia	20000	8f2aa845e1828f2	38.9176	-77.02411
238	The Dabney	122 Blagden Alley NW	Washington	District of Columbia	20001	8f2aa845e669a5c	38.9062921	-77.0245936
239	Métier	1015 7th St. NW	Washington	District of Columbia	20001	8f2aa845e2db612	38.903503	-77.0218
240	Reveler's Hour	1777 Columbia Rd. NW	Washington	District of Columbia	20009	8f2aa845364d543	38.9232554	-77.0420426
241	Rasika	633 D St. NW	Washington	District of Columbia	20004	8f2aa845aa25289	38.894913	-77.02162
242	Tsehay	3630 Georgia Ave. NW	Washington	District of Columbia	20010	8f2aa845149d434	38.9349934	-77.0241457
243	Rumi's Kitchen	640 L St. NW	Washington	District of Columbia	20001	8f2aa845e2dd590	38.9041169	-77.021052
244	Tiger Fork	922 N St. NW	Washington	District of Columbia	20001	8f2aa845e66c259	38.9068986	-77.0248225
